query_id,query,label
P180,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q702842> .
	?x1 <http://www.wikidata.org/prop/direct/P131>* <http://www.wikidata.org/entity/Q90> .
}",0
P181,"SELECT * WHERE {
	<http://www.wikidata.org/entity/Q3501742> <http://www.wikidata.org/prop/direct/P106> ?x1 .
	?x1 <http://www.wikidata.org/prop/direct/P279>* ?c815 .
	?c815 <http://www.wikidata.org/prop/direct/P425> ?x2 .
}",1
P182,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P131> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?x3 .
	?x2 <http://www.wikidata.org/prop/direct/P131>* <http://www.wikidata.org/entity/Q108106> .
	?x3 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q56061> .
}",0
P183,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q23794244> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P184,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q994059> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P186,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P19> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c235 .
	?c235 <http://www.wikidata.org/prop/direct/P279>+ <http://www.wikidata.org/entity/Q82794> .
}",0
P187,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P131> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?x3 .
	?x4 <http://www.wikidata.org/prop/direct/P131>* <http://www.wikidata.org/entity/Q1055> .
	?x4 <http://www.wikidata.org/prop/direct/P150> ?x2 .
	?x3 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q387917> .
}",0
P188,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q3231690> .
	?x1 <http://www.wikidata.org/prop/direct/P31>* <http://www.wikidata.org/entity/Q3231690> .
}",0
P189,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q20202327> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P190,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P131> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q39715> .
	?x2 <http://www.wikidata.org/prop/direct/P131>* <http://www.wikidata.org/entity/Q55> .
}",0
P191,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P18> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?x3 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c192 .
	?c192 <http://www.wikidata.org/prop/direct/P279>+ <http://www.wikidata.org/entity/Q2095> .
}",0
P192,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q1194951> .
	?x1 <http://www.wikidata.org/prop/direct/P641>* <http://www.wikidata.org/entity/Q3609> .
}",0
P193,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q28733563> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P195,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P50> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c443 .
	?c443 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q18918145> .
	?x2 <http://www.wikidata.org/prop/direct/P31> ?c860 .
	?c860 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q729> .
}",0
P196,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q3582579> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P197,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P2268> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q5> .
	?x1 <http://www.wikidata.org/prop/direct/P106> ?c409 .
	?c409 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q483501> .
}",1
P198,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P129> ?x2 .
	?x3 <http://www.wikidata.org/prop/direct/P2293> ?x4 .
	?x4 <http://www.wikidata.org/prop/direct/P688> ?x2 .
	?x3 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q29496> .
}",0
P199,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q481075> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P200,"SELECT * WHERE {
	# ?x1 <http://www.wikidata.org/prop/direct/P625> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P131>+ <http://www.wikidata.org/entity/Q1741> .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c567 .
	?c567 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q173387> .
}",1
P201,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P161> <http://www.wikidata.org/entity/Q14468873> .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c560 .
	?c560 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q11424> .
}",1
P202,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P131> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c254 .
	?c254 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q3918> .
}",0
P203,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P31> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P625> ?x3 .
	?x1 <http://www.wikidata.org/prop/direct/P131>* <http://www.wikidata.org/entity/Q84> .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c956 .
	?c956 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q3918> .
}",0
P204,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P131> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?x3 .
	?x4 <http://www.wikidata.org/prop/direct/P150> ?x2 .
	?x4 <http://www.wikidata.org/prop/direct/P131>* <http://www.wikidata.org/entity/Q54939> .
	?x3 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q56061> .
}",0
P205,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P105> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P171> ?x3 .
	?x1 <http://www.wikidata.org/prop/direct/P225> ?x4 .
	<http://www.wikidata.org/entity/Q185230> <http://www.wikidata.org/prop/direct/P171>* ?x1 .
}",0
P206,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q29875661> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P207,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P180> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P18> ?x3 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c356 .
	?c356 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q3305213> .
	?x2 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q34379> .
}",0
P208,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q34644785> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P209,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P1082> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31>* <http://www.wikidata.org/entity/Q484170> .
}",0
P210,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q29018634> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P211,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P105> ?x2 .
	?x3 <http://www.wikidata.org/prop/direct/P105> ?x4 .
	?x1 <http://www.wikidata.org/prop/direct/P171> ?x3 .
	?x1 <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q16521> .
	?x3 <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q16521> .
	?x4 <http://www.wikidata.org/prop/direct/P361> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P171>+ <http://www.wikidata.org/entity/Q130942> .
}",0
P212,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P105> <http://www.wikidata.org/entity/Q7432> .
	?x1 <http://www.wikidata.org/prop/direct/P171> ?x2 .
	?x2 <http://www.wikidata.org/prop/direct/P171>* <http://www.wikidata.org/entity/Q461021> .
}",0
P213,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P105> <http://www.wikidata.org/entity/Q35409> .
	?x1 <http://www.wikidata.org/prop/direct/P171> ?x2 .
	?x2 <http://www.wikidata.org/prop/direct/P171>* <http://www.wikidata.org/entity/Q28319> .
}",0
P214,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P3896> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P131>* <http://www.wikidata.org/entity/Q25> .
}",0
P215,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P105> <http://www.wikidata.org/entity/Q7432> .
	?x1 <http://www.wikidata.org/prop/direct/P171> ?x2 .
	?x2 <http://www.wikidata.org/prop/direct/P171>* <http://www.wikidata.org/entity/Q26773> .
}",0
P216,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P1082> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P17> ?x3 .
	?x1 <http://www.wikidata.org/prop/direct/P625> ?x4 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c806 .
	?c806 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q515> .
}",0
P217,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q28738935> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P218,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P105> ?x2 .
	?x3 <http://www.wikidata.org/prop/direct/P105> ?x4 .
	?x1 <http://www.wikidata.org/prop/direct/P171> ?x3 .
	?x1 <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q16521> .
	?x4 <http://www.wikidata.org/prop/direct/P361>+ ?x2 .
}",0
P219,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q326313> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P220,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q29872961> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P222,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P105> <http://www.wikidata.org/entity/Q7432> .
	?x1 <http://www.wikidata.org/prop/direct/P171> ?x2 .
	?x2 <http://www.wikidata.org/prop/direct/P171>* <http://www.wikidata.org/entity/Q28486> .
}",0
P223,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P105> <http://www.wikidata.org/entity/Q7432> .
	?x1 <http://www.wikidata.org/prop/direct/P171> ?x2 .
	?x2 <http://www.wikidata.org/prop/direct/P171>* <http://www.wikidata.org/entity/Q183147> .
}",0
P224,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P403> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P4614> ?x3 .
	?x2 <http://www.wikidata.org/prop/direct/P4614> ?x4 .
	?x4 <http://www.wikidata.org/prop/direct/P4614> ?x3 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c171 .
	?c171 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q355304> .
	?x2 <http://www.wikidata.org/prop/direct/P31> ?c701 .
	?c701 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q355304> .
}",0
P225,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P31> ?x2 .
	?x2 <http://www.wikidata.org/prop/direct/P279>+ <http://www.wikidata.org/entity/Q206615> .
}",0
P226,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P1082> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P17> ?x3 .
	?x1 <http://www.wikidata.org/prop/direct/P2046> ?x4 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c874 .
	?c874 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q361733> .
}",0
P227,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P131> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?x3 .
	?x2 <http://www.wikidata.org/prop/direct/P131>* <http://www.wikidata.org/entity/Q108053> .
	?x3 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q56061> .
}",0
P228,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q6256> .
	?x1 <http://www.wikidata.org/prop/direct/P131>* ?c972 .
	?c972 <http://www.wikidata.org/prop/direct/P17> ?c855 .
	?c855 <http://www.wikidata.org/prop/direct/P30> ?c365 .
	?c365 <http://www.wikidata.org/prop/direct/P361> <http://www.wikidata.org/entity/Q48> .
}",1
P229,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P131> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?x3 .
	?x4 <http://www.wikidata.org/prop/direct/P150> ?x2 .
	?x4 <http://www.wikidata.org/prop/direct/P131>* <http://www.wikidata.org/entity/Q1197> .
	?x3 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q15630906> .
}",0
P230,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q5> .
	?x1 <http://www.wikidata.org/prop/direct/P50> ?x2 .
	?x2 <http://www.wikidata.org/prop/direct/P31> ?c521 .
	?c521 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q386724> .
}",1
P232,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q18003161> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P233,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P19> <http://www.wikidata.org/entity/Q36> .
	?x1 <http://www.wikidata.org/prop/direct/P106>* <http://www.wikidata.org/entity/Q82955> .
}",0
P234,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q5> .
	?x1 <http://www.wikidata.org/prop/direct/P50> ?c301 .
	?c301 <http://www.wikidata.org/prop/direct/P31> ?c1 .
	?c1 <http://www.wikidata.org/prop/direct/P279>+ <http://www.wikidata.org/entity/Q386724> .
}",1
P235,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q20304516> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P236,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P17> <http://www.wikidata.org/entity/Q31> .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c610 .
	?c610 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q1248784> .
}",0
P237,"SELECT * WHERE {
	<http://www.wikidata.org/entity/Q3132941> <http://www.wikidata.org/prop/direct/P106> ?x1 .
	?x1 <http://www.wikidata.org/prop/direct/P279>* ?c601 .
	?c601 <http://www.wikidata.org/prop/direct/P425> ?x2 .
}",1
P238,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q24192592> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P239,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P686> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c907 .
	?c907 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q2996394> .
}",0
P240,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P131> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c185 .
	?c185 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q16970> .
	?x1 <http://www.wikidata.org/prop/direct/P131>* <http://www.wikidata.org/entity/Q12620> .
}",0
P241,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P21> <http://www.wikidata.org/entity/Q6581072> .
	?x1 <http://www.wikidata.org/prop/direct/P106> ?c713 .
	?c713 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q483501> .
}",0
P242,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P131> ?x2 .
	?x2 <http://www.wikidata.org/prop/direct/P131>+ <http://www.wikidata.org/entity/Q12620> .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c192 .
	?c192 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q16970> .
}",0
P243,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q480801> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P244,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P625> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P131>* <http://www.wikidata.org/entity/Q62> .
}",0
P245,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P1448> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q515> .
	?x1 <http://www.wikidata.org/prop/direct/P17>+ <http://www.wikidata.org/entity/Q183> .
}",0
P246,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P136> <http://www.wikidata.org/entity/Q377910> .
	?x1 <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q215380> .
	?x1 <http://www.wikidata.org/prop/direct/P740> ?c171 .
	?c171 <http://www.wikidata.org/prop/direct/P131>* <http://www.wikidata.org/entity/Q25> .
}",0
P247,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P131> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P137> ?x3 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c414 .
	?c414 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q7075> .
	?x1 <http://www.wikidata.org/prop/direct/P131>* <http://www.wikidata.org/entity/Q25> .
}",0
P248,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P17> <http://www.wikidata.org/entity/Q142> .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c335 .
	?c335 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q811979> .
}",0
P249,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q118146> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P250,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q41259536> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P251,"SELECT * WHERE {
	<http://www.wikidata.org/entity/Q7446404> <http://www.wikidata.org/prop/direct/P106> ?x1 .
	?x1 <http://www.wikidata.org/prop/direct/P279>* ?c487 .
	?c487 <http://www.wikidata.org/prop/direct/P425> ?x2 .
}",1
P252,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P3512> <http://www.wikidata.org/entity/Q372949> .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c549 .
	?c549 <http://www.wikidata.org/prop/direct/P279> <http://www.wikidata.org/entity/Q16521> .
	?x1 <http://www.wikidata.org/prop/direct/P171>+ <http://www.wikidata.org/entity/Q194240> .
}",1
